/Volumes/FAT32_FORMA/Thesis/short_video/frames_with_edges/video1_xuxin_vs_zhangjike_kuwait_2015/frame_00050.jpg
s_index: 50 	f_index: 1218 	Manhattan norm: 4463547.0 	Per pixel: 19.3730338542
s_index: 50 	f_index: 1219 	Manhattan norm: 4498240.0 	Per pixel: 19.5236111111
s_index: 50 	f_index: 1220 	Manhattan norm: 4574222.0 	Per pixel: 19.8533940972
s_index: 50 	f_index: 1221 	Manhattan norm: 4495097.0 	Per pixel: 19.5099696181
s_index: 50 	f_index: 1222 	Manhattan norm: 4512133.0 	Per pixel: 19.5839105903
============ Offset for s_index 50 is 1023============
s_index: 51 	f_index: 1074 	Manhattan norm: 4173626.0 	Per pixel: 18.1146961806
s_index: 51 	f_index: 1075 	Manhattan norm: 4326815.0 	Per pixel: 18.7795789931
s_index: 51 	f_index: 1076 	Manhattan norm: 4430910.0 	Per pixel: 19.2313802083
s_index: 51 	f_index: 1077 	Manhattan norm: 4443631.0 	Per pixel: 19.2865928819
s_index: 51 	f_index: 1078 	Manhattan norm: 4520083.0 	Per pixel: 19.6184157986
s_index: 51 	f_index: 1079 	Manhattan norm: 4402772.0 	Per pixel: 19.1092534722
s_index: 51 	f_index: 1080 	Manhattan norm: 4392536.0 	Per pixel: 19.0648263889
s_index: 51 	f_index: 1081 	Manhattan norm: 4413740.0 	Per pixel: 19.1568576389
s_index: 51 	f_index: 1082 	Manhattan norm: 4479316.0 	Per pixel: 19.4414756944
s_index: 51 	f_index: 1083 	Manhattan norm: 4491777.0 	Per pixel: 19.4955598958
s_index: 51 	f_index: 1084 	Manhattan norm: 4377764.0 	Per pixel: 19.0007118056
s_index: 51 	f_index: 1085 	Manhattan norm: 4398394.0 	Per pixel: 19.0902517361
s_index: 51 	f_index: 1086 	Manhattan norm: 4352117.0 	Per pixel: 18.8893967014
s_index: 51 	f_index: 1087 	Manhattan norm: 4342982.0 	Per pixel: 18.8497482639
s_index: 51 	f_index: 1088 	Manhattan norm: 4349573.0 	Per pixel: 18.8783550347
s_index: 51 	f_index: 1089 	Manhattan norm: 4253049.0 	Per pixel: 18.4594140625
s_index: 51 	f_index: 1090 	Manhattan norm: 4179716.0 	Per pixel: 18.1411284722
s_index: 51 	f_index: 1091 	Manhattan norm: 4258971.0 	Per pixel: 18.4851171875
s_index: 51 	f_index: 1092 	Manhattan norm: 4324774.0 	Per pixel: 18.7707204861
s_index: 51 	f_index: 1093 	Manhattan norm: 4353519.0 	Per pixel: 18.8954817708
