/Volumes/FAT32_FORMA/Thesis/short_video/frames/video1_xuxin_vs_zhangjike_kuwait_2015/frame_00050.jpg
s_index: 50 	f_index: 1214 	Manhattan norm: 4169761.04855 	Per pixel: 18.0979212177
s_index: 50 	f_index: 1215 	Manhattan norm: 4089959.68586 	Per pixel: 17.7515611366
s_index: 50 	f_index: 1216 	Manhattan norm: 3969507.38041 	Per pixel: 17.2287646719
s_index: 50 	f_index: 1217 	Manhattan norm: 4057830.35297 	Per pixel: 17.612110907
s_index: 50 	f_index: 1218 	Manhattan norm: 4261239.86243 	Per pixel: 18.4949646807
s_index: 50 	f_index: 1219 	Manhattan norm: 4338169.47644 	Per pixel: 18.8288605748
s_index: 50 	f_index: 1220 	Manhattan norm: 4469148.02356 	Per pixel: 19.3973438523
s_index: 50 	f_index: 1221 	Manhattan norm: 4486019.07723 	Per pixel: 19.4705689116
s_index: 50 	f_index: 1222 	Manhattan norm: 4453434.41492 	Per pixel: 19.3291424259
============ Offset for s_index 50 is 1023============
s_index: 51 	f_index: 1074 	Manhattan norm: 3499649.12501 	Per pixel: 15.1894493273
s_index: 51 	f_index: 1075 	Manhattan norm: 3895933.768 	Per pixel: 16.909434757
s_index: 51 	f_index: 1076 	Manhattan norm: 4233326.2526 	Per pixel: 18.3738118602
s_index: 51 	f_index: 1077 	Manhattan norm: 4252947.74215 	Per pixel: 18.4589745753
s_index: 51 	f_index: 1078 	Manhattan norm: 4334199.62042 	Per pixel: 18.811630297
s_index: 51 	f_index: 1079 	Manhattan norm: 4258062.42801 	Per pixel: 18.4811737327
s_index: 51 	f_index: 1080 	Manhattan norm: 4345046.79974 	Per pixel: 18.8587100683
s_index: 51 	f_index: 1081 	Manhattan norm: 4429937.76832 	Per pixel: 19.2271604528
s_index: 51 	f_index: 1082 	Manhattan norm: 4498587.73183 	Per pixel: 19.5251203638
s_index: 51 	f_index: 1083 	Manhattan norm: 4453700.33465 	Per pixel: 19.3302965914
s_index: 51 	f_index: 1084 	Manhattan norm: 4384852.05031 	Per pixel: 19.0314759128
s_index: 51 	f_index: 1085 	Manhattan norm: 4355438.21947 	Per pixel: 18.9038117164
s_index: 51 	f_index: 1086 	Manhattan norm: 4388237.25567 	Per pixel: 19.0461686444
s_index: 51 	f_index: 1087 	Manhattan norm: 4357695.34908 	Per pixel: 18.9136082859
s_index: 51 	f_index: 1088 	Manhattan norm: 4470805.1771 	Per pixel: 19.404536359
s_index: 51 	f_index: 1089 	Manhattan norm: 4083879.17567 	Per pixel: 17.7251700333
s_index: 51 	f_index: 1090 	Manhattan norm: 3900146.23037 	Per pixel: 16.9277180137
s_index: 51 	f_index: 1091 	Manhattan norm: 4210130.13971 	Per pixel: 18.2731342869
s_index: 51 	f_index: 1092 	Manhattan norm: 4357127.25785 	Per pixel: 18.9111426122
s_index: 51 	f_index: 1093 	Manhattan norm: 4529554.98691 	Per pixel: 19.6595268529
s_index: 51 	f_index: 1094 	Manhattan norm: 4671801.26309 	Per pixel: 20.2769152044
